Month,Model,MAE_Historical,RMSE_Historical,R2_Historical,MAE_Reproduced,RMSE_Reproduced,R2_Reproduced,Validation_Method,Feature_Mode,Reproduction_Random_State,MAE_Difference,MAE_Absolute_Difference,RMSE_Difference,RMSE_Absolute_Difference,R2_Difference,R2_Absolute_Difference,Record_Status
June,XGBoost,3.148982238769534,4.126866498528445,-30.14244954820832,3.148982238769534,4.126866498528445,-30.14244954820832,80/20 holdout (reproduction),3,42,0.0,0.0,0.0,0.0,0.0,0.0,Matched
March,Decision Tree,0.5099999999999995,0.707827662641128,0.9553495359032436,0.5099999999999995,0.707827662641128,0.9553495359032436,80/20 holdout (reproduction),3,42,0.0,0.0,0.0,0.0,0.0,0.0,Matched
March,Linear Regression,0.0015316647696607,0.0019025751796318,0.9999996774072756,0.0015316647696607,0.0019025751796329,0.9999996774072756,80/20 holdout (reproduction),3,42,0.0,0.0,1.1000315242037928e-15,1.1000315242037928e-15,0.0,0.0,Matched
March,Random Forest,0.8421266666669538,1.3457514597181783,0.83860107647583,0.8338700000000898,1.3432515071645892,0.8392001690857217,80/20 holdout (reproduction),3,42,-0.008256666666863977,0.008256666666863977,-0.0024999525535891465,0.0024999525535891465,0.0005990926098916605,0.0005990926098916605,Matched
March,XGBoost,0.5229185180664075,0.7107278995076142,0.954982886709406,0.5229185180664075,0.7107278995076142,0.954982886709406,80/20 holdout (reproduction),3,42,0.0,0.0,0.0,0.0,0.0,0.0,Matched
May,Decision Tree,2.6,2.932575659723036,-0.2215909090909091,2.6,2.932575659723036,-0.2215909090909091,80/20 holdout (reproduction),3,42,0.0,0.0,0.0,0.0,0.0,0.0,Matched
May,Linear Regression,1.659790470306305,2.2103484634090464,0.3060169986229073,1.659790470306325,2.2103484634090584,0.3060169986228995,80/20 holdout (reproduction),3,42,1.9984014443252818e-14,1.9984014443252818e-14,1.199040866595169e-14,1.199040866595169e-14,-7.827072323607354e-15,7.827072323607354e-15,Matched
May,Random Forest,2.0386666666666686,2.437210609601795,0.1562506313131315,2.124000000000001,2.523091357838636,0.0957400568181799,80/20 holdout (reproduction),3,42,0.08533333333333237,0.08533333333333237,0.08588074823684089,0.08588074823684089,-0.06051057449495159,0.06051057449495159,Matched
May,XGBoost,2.640299987792969,3.1090528738664047,-0.3730411608660442,2.640299987792969,3.1090528738664047,-0.3730411608660442,80/20 holdout (reproduction),3,42,0.0,0.0,0.0,0.0,0.0,0.0,Matched
November,Decision Tree,3.75,5.387743291748203,-1.3817663817663806,3.25,5.123475382979799,-1.1538461538461535,80/20 holdout (reproduction),3,42,-0.5,0.5,-0.2642679087684039,0.2642679087684039,0.22792022792022704,0.22792022792022704,Matched
November,Linear Regression,4.459404695100876,5.309375780534071,-1.3129822505781976,4.459404695100879,5.309375780534074,-1.3129822505781994,80/20 holdout (reproduction),3,42,3.552713678800501e-15,3.552713678800501e-15,2.6645352591003757e-15,2.6645352591003757e-15,-1.7763568394002505e-15,1.7763568394002505e-15,Matched
November,Random Forest,3.3004047619047654,4.267085540796158,-0.4939913035874168,3.378,4.319350935036421,-0.5308137435897438,80/20 holdout (reproduction),3,42,0.07759523809523472,0.07759523809523472,0.052265394240262886,0.052265394240262886,-0.036822440002326984,0.036822440002326984,Matched
November,XGBoost,5.963075637817383,6.966203671049255,-2.9817840891520087,5.963075637817383,6.966203671049255,-2.9817840891520087,80/20 holdout (reproduction),3,42,0.0,0.0,0.0,0.0,0.0,0.0,Matched
October,Decision Tree,3.7666666666666657,4.2511436369784334,-27.23784722222222,2.2,2.792848008753788,-11.1875,80/20 holdout (reproduction),3,42,-1.5666666666666655,1.5666666666666655,-1.4582956282246453,1.4582956282246453,16.05034722222222,16.05034722222222,Matched
October,Linear Regression,2.0097216526754864,2.2324073083070743,-6.786941234660681,2.009721652675489,2.232407308307112,-6.786941234660943,80/20 holdout (reproduction),3,42,2.6645352591003757e-15,2.6645352591003757e-15,3.774758283725532e-14,3.774758283725532e-14,-2.6201263381153694e-13,2.6201263381153694e-13,Matched
October,Random Forest,1.51215555555556,2.1413339542686263,-6.164548599537047,1.5402333333333331,2.174566512357502,-6.388655494791676,80/20 holdout (reproduction),3,42,0.028077777777773205,0.028077777777773205,0.03323255808887593,0.03323255808887593,-0.22410689525462946,0.22410689525462946,Matched
October,XGBoost,1.608245849609375,2.3180010634545893,-7.39551395340095,1.608245849609375,2.3180010634545893,-7.39551395340095,80/20 holdout (reproduction),3,42,0.0,0.0,0.0,0.0,0.0,0.0,Matched
September,Decision Tree,1.125,1.4577379737113252,0.6125356125356125,1.875,2.57390753524675,-0.2079772079772079,LOOCV (reconstructed September validation),3,42,0.75,0.75,1.116169561535425,1.116169561535425,-0.8205128205128204,0.8205128205128204,Matched
September,Linear Regression,1.7910835291828189,2.0252155047100486,0.252148541899856,1.7910835291828242,2.025215504710053,0.2521485418998528,LOOCV (reconstructed September validation),3,42,5.329070518200751e-15,5.329070518200751e-15,4.440892098500626e-15,4.440892098500626e-15,-3.219646771412954e-15,3.219646771412954e-15,Matched
September,Random Forest,1.6166250000000009,1.8607794310582284,0.3686609520593715,1.5875208333333326,1.8193049869157896,0.3964908243114918,LOOCV (reconstructed September validation),3,42,-0.029104166666668263,0.029104166666668263,-0.04147444414243884,0.04147444414243884,0.027829872252120302,0.027829872252120302,Matched
September,XGBoost,1.8444318771362305,2.2838704088609845,0.04892279531016,1.8621711730957031,2.5441092565454984,-0.1801694649327387,LOOCV (reconstructed September validation),3,42,0.017739295959472656,0.017739295959472656,0.2602388476845139,0.2602388476845139,-0.2290922602428987,0.2290922602428987,Matched
